"LETO","Sklenitve zakonskih zvez - Skupaj","Prve sklenitve zakonskih zvez ženina","Prve sklenitve zakonskih zvez neveste","Zakonski stan ženina - vdovec","Zakonski stan neveste - vdova","Povpreèna starost ženina ob sklenitvi prve zakonske zveze","Povpreèna starost neveste ob prvi sklenitvi zakonske zveze"
"2008",6703,5716,5904,79,59,30.9,28.4
"2009",6542,5852,5917,69,77,30.7,28.3
"2010",6528,5800,5865,86,75,31.2,28.6
"2011",6671,5966,6029,82,68,31.4,29.1
"2012",7057,6315,6311,66,68,31.5,29.2
"2013",6254,5600,5663,73,56,31.6,29.2
"2014",6571,5874,5937,67,64,31.6,29.4
"2015",6449,5768,5794,68,49,32.0,29.7
"2016",6667,5918,5955,59,62,31.9,30.0
"2017",6481,5851,5827,54,53,32.2,30.1
"2018",7256,6394,6439,80,68,32.6,30.5
